cluster,gene,score,logfoldchange,pval,pval_adj,pct_expr
-1,PLK1,2.2582366,0.096104175,0.024491005179678508,0.7010543695361214,0.1111111111111111
-1,PGAP2,2.2547693,0.7057048,0.024147804288284995,0.7011213685061678,0.16666666666666666
-1,GEMIN8,2.2521756,2.2322354,0.02431117412566238,0.7011213685061678,0.3333333333333333
-1,MFAP1,2.251332,3.1982057,0.02436451365381206,0.7011213685061678,0.16666666666666666
-1,HDHD1,2.2469463,4.826773,0.024643462594282062,0.7011213685061678,0.3333333333333333
-1,MOGAT1,2.2455664,1.5737766,0.024731800988929936,0.7011213685061678,0.0
-1,PCM1,2.2455664,0.19556607,0.024731800988929936,0.7011213685061678,0.16666666666666666
-1,SMPD4,2.2455664,0.47709757,0.024731800988929936,0.7011213685061678,0.0
-1,BMPR1B,2.2416582,2.904058,0.024983473776559025,0.7011213685061678,0.16666666666666666
-1,DQX1,2.2380474,5.229936,0.025217960965443126,0.7011213685061678,0.16666666666666666
-1,KLHL10,2.2363632,0.2415311,0.025327992206061703,0.7011213685061678,0.3333333333333333
-1,CDH23,2.2347577,1.3622692,0.025433255484189926,0.7011213685061678,0.0
-1,SEPHS1,2.2333827,4.6536283,0.025523715074694232,0.7011213685061678,0.16666666666666666
-1,MC4R,2.2291486,3.5768728,0.025804015624817846,0.7011213685061678,0.0
-1,COA4,2.22716,-1.5672157,0.025936581027127044,0.7011213685061678,0.16666666666666666
-1,EMC6,2.22716,-0.7305561,0.025936581027127044,0.7011213685061678,0.16666666666666666
-1,TASP1,2.22716,-0.3075503,0.025936581027127044,0.7011213685061678,0.3333333333333333
-1,ACSF3,2.2268133,2.2775834,0.025959753329077774,0.7011213685061678,0.16666666666666666
-1,EMC8,2.2266185,3.6821172,0.025972772758824474,0.7011213685061678,0.5
-1,STOML1,2.2266185,2.9191663,0.025972772758824474,0.7011213685061678,0.0
-1,MRPL27,2.2221525,3.424199,0.026273001920498418,0.706609358790446,0.0
-1,CARHSP1,2.2214472,2.4284298,0.026320692447781655,0.706609358790446,0.0
-1,PGS1,2.2024522,2.727026,0.027633377673937247,0.722745184869314,0.16666666666666666
-1,SEH1L,2.2024522,2.5362763,0.027633377673937247,0.722745184869314,0.0
-1,TBRG1,2.2024522,2.6143808,0.027633377673937247,0.722745184869314,0.0
-1,PPP4R2,2.201451,1.779134,0.02770411379574764,0.722745184869314,0.0
